"crl.tot","dollar","bang","money","n000","make","yesno"
10,0,0,0,0,0,"n"
904,0.013,0,0,0,0,"n"
30,0,0,0,0,0,"n"
267,0,0.02,0,0,0.38,"n"
122,0,0,0,0,0,"n"
134,0,0.054,0,0,0,"n"
517,0,0,0,0,0,"n"
114,0.124,0.124,0,0,0,"y"
5,0,0,0,0,0,"n"
425,0.016,0,0.12,0.12,0.24,"n"
16,0,0.544,0,0,0,"y"
373,0,0.487,0,0,0,"y"
535,0.034,0,0,0,0.12,"n"
461,0,0,0,0,0,"n"
56,0,0.286,0,0,0,"n"
188,0,0,0,0,0,"n"
186,0,1.36,0,0,0,"y"
24,0,0,0,0,0,"n"
21,0,0,0,0,0,"n"
325,0.896,0.482,0.44,0.44,0,"y"
86,0,0,0,0,0,"n"
2205,0.338,0.831,0.4,0,0.2,"y"
183,0.067,0.067,0,0,0.22,"y"
979,0.261,0.358,0.34,0.08,0,"y"
9,0,0,0,0,0,"n"
1621,0.141,0.343,0.76,0.29,0.4,"y"
34,0,0,0,0,0,"n"
10,0.724,0,0,0,0,"n"
1180,0.059,1.008,0,0,0.38,"y"
73,0,0.09,0,0,0,"n"
23,0,0,0,0,0,"n"
118,0,0.061,0,0,0.75,"n"
143,0.157,0,0.32,0,0,"y"
147,0,0.138,0,0,0.48,"n"
116,0,0.174,0,0.33,0,"n"
92,0,0,0,0,0,"n"
81,0,0.27,0,0,0,"y"
261,0,0.786,0,0,0,"y"
121,0,0.291,0,0,0.32,"n"
1342,0.106,0.287,0.19,0.52,0.06,"y"
11,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
359,0.029,0.234,0.53,0,0.71,"y"
322,0,0,0,0,0,"n"
640,0.674,0.179,0,0,0,"y"
28,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
1412,0.118,0.408,0.08,0.85,0.08,"y"
7,0,1.315,0,0,0,"n"
67,0,0.217,0,0,0,"n"
179,0,0,0,0,0,"n"
2340,0.509,0.478,0.58,0.51,0.51,"y"
144,0,0,0,0,0.27,"y"
21,0,0,0,0,0,"n"
472,0,0.018,0,0,0,"n"
204,0,0,0,0,0,"n"
385,0,0.479,0,0,0,"y"
192,0,0,0,0,0,"n"
117,0.151,0,0.87,0,0,"y"
13,0,0,0,0,0,"n"
24,0,0.327,0,0,0,"n"
114,0,0.109,0,0,0,"n"
186,0,0,0,0,0.71,"y"
446,0.267,0,0.5,0,0,"y"
68,0,0.24,0,0,0,"n"
522,0,0.14,0,0,0.29,"n"
2,0,0,12.5,0,0,"y"
78,0,0,1.88,0,0,"y"
39,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
215,0.088,0,0,0,0,"y"
768,1.308,5.828,0.09,0,0.09,"y"
64,0,0,0,0,0,"n"
45,6.003,0,0,1.12,0,"y"
5395,0.09,0.002,0,0,0.01,"n"
19,0,0,0,0,0,"y"
640,0.673,0.179,0,0,0,"y"
521,0.099,0.007,0.14,0.38,0.14,"y"
27,0,0.473,0,0,0,"n"
1315,0,0.027,0,0,0.08,"n"
240,0.186,0.28,0.53,0.53,2.12,"y"
226,0,0,0,0,0,"n"
31,0.211,0,0,0,0,"n"
35,0,0,0,0,0,"n"
150,0,0.05,0,0,0,"y"
68,0,0.301,0,0,0,"n"
194,0.037,0,0,0,0,"n"
14,0,0.564,0,0,0,"n"
65,0,0.258,0,0,1.63,"y"
18,0,0,0,0,0,"n"
4,0,3.225,0,0,0,"n"
496,0,0,0,0,0,"n"
3220,0.065,0.013,0.17,0.1,0.1,"y"
4,0,0,0,0,0,"n"
290,0,0.056,0,0,0,"n"
145,0,0,0,0,0,"n"
357,0,0,0,0,0,"n"
158,0,0.057,0.16,0,0,"n"
61,0,0,0,0,0,"n"
193,0,0.056,0,0,0,"n"
736,0.467,1.203,0,0,0,"y"
60,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
54,0,0.218,0,0,0,"y"
190,0.135,0.067,0,0.78,0.58,"y"
70,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
1001,0.023,0.865,0,0,0,"y"
85,0,0.969,0,1.02,0,"y"
138,0,0,0,0,0,"n"
53,0,0,0,0,2,"n"
25,0,0.186,0,0,0,"n"
11,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
278,0,0.778,0,0,0,"y"
417,0.057,0.085,0,0.35,0,"y"
9,0,0,0,0,0,"n"
28,0,0.448,0,0,0,"n"
36,0,0,0,0,0,"n"
43,0,0.168,0,0,0,"n"
881,0.028,0,0,0,0.07,"n"
41,0,0,0,0,0,"n"
1080,0.014,0,0,0,0.05,"n"
27,0,0.234,0,0,0,"n"
601,0,0,0,0,0,"n"
107,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
155,0,0.029,0,0,0,"n"
68,0,0,0,0,0.84,"n"
7,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
31,0,0.243,0,0,0,"n"
113,0,0,0,0,0,"n"
